epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6096938848495483,0.0010000000474974513,1.200827956199646,0.24523809552192688,5.055233478546143
1,0.9076530337333679,0.0010000000474974513,0.4588652551174164,0.6642857193946838,0.889323353767395
2,0.9474489688873291,0.0010000000474974513,0.284869521856308,0.976190447807312,0.18139339983463287
3,0.9637755155563354,0.0010000000474974513,0.21430353820323944,0.9928571581840515,0.093006432056427
4,0.9760203957557678,0.0010000000474974513,0.16343247890472412,0.973809540271759,0.11506130546331406
5,0.9831632375717163,0.0010000000474974513,0.13046957552433014,1.0,0.05853654816746712
6,0.9846938848495483,0.0010000000474974513,0.11427649110555649,0.9928571581840515,0.06312596797943115
7,0.9872449040412903,0.0010000000474974513,0.09923351556062698,0.9952380657196045,0.05675767734646797
8,0.9918367266654968,0.0010000000474974513,0.09001240134239197,1.0,0.04667020961642265
9,0.9928571581840515,0.0010000000474974513,0.08088117092847824,1.0,0.04376254603266716
10,0.9974489808082581,0.0010000000474974513,0.07034185528755188,1.0,0.047049861401319504
11,0.9928571581840515,0.0010000000474974513,0.07418785244226456,0.9547619223594666,0.15993483364582062
12,0.9964285492897034,0.0010000000474974513,0.06456932425498962,1.0,0.04176168888807297
13,0.9948979616165161,0.0010000000474974513,0.06169213354587555,1.0,0.04204310476779938
14,0.9948979616165161,0.0010000000474974513,0.06307080388069153,0.9952380657196045,0.055164724588394165
15,0.9984694123268127,0.0010000000474974513,0.05497556924819946,1.0,0.04049001261591911
16,0.9969387650489807,0.0010000000474974513,0.053600896149873734,0.9928571581840515,0.0503246933221817
17,0.9954081773757935,0.0010000000474974513,0.05560366064310074,1.0,0.03842620924115181
18,0.9984694123268127,0.0010000000474974513,0.05101775377988815,1.0,0.03832758590579033
19,0.9969387650489807,0.0010000000474974513,0.05289515107870102,1.0,0.0377437025308609
20,0.9979591965675354,0.0010000000474974513,0.04995406046509743,0.9904761910438538,0.05919585004448891
21,0.9984694123268127,0.0010000000474974513,0.04623066261410713,0.9952380657196045,0.046401266008615494
22,0.9974489808082581,0.0010000000474974513,0.051090117543935776,0.9404761791229248,0.20343945920467377
23,0.9979591965675354,0.0010000000474974513,0.046497613191604614,0.9976190328598022,0.03870025649666786
24,0.9964285492897034,0.0010000000474974513,0.051078032702207565,0.9976190328598022,0.04007676616311073
