epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7744898200035095,0.0010000000474974513,0.747792661190033,0.1428571492433548,2.706451177597046
1,0.9637755155563354,0.0010000000474974513,0.24390769004821777,0.1428571492433548,3.8936922550201416
2,0.9831632375717163,0.0010000000474974513,0.17429988086223602,0.18333333730697632,4.561371803283691
3,0.9943877458572388,0.0010000000474974513,0.13589288294315338,0.14523810148239136,5.656136512756348
4,0.9913265109062195,0.0010000000474974513,0.1411035805940628,0.190476194024086,6.6883063316345215
5,0.9928571581840515,0.0010000000474974513,0.13536468148231506,0.14523810148239136,3.575615406036377
6,0.9989795684814453,0.0010000000474974513,0.11445599049329758,0.15000000596046448,4.355869293212891
7,0.9984694123268127,0.0010000000474974513,0.1114427000284195,0.47857141494750977,1.8085001707077026
8,0.9984694123268127,0.0010000000474974513,0.11192633211612701,0.6238095164299011,1.2523632049560547
9,0.9979591965675354,0.0010000000474974513,0.11400613933801651,0.9214285612106323,0.36083531379699707
10,1.0,0.0010000000474974513,0.10537095367908478,0.9904761910438538,0.14084212481975555
11,1.0,0.0010000000474974513,0.10045948624610901,0.9928571581840515,0.13256137073040009
12,1.0,0.0010000000474974513,0.09884629398584366,1.0,0.10281118005514145
13,1.0,0.0010000000474974513,0.09644666314125061,1.0,0.1026376485824585
